Date of Sale,Address,Location,Living Area,Room,Ancillary Areas,Plot,Closing Price
Såld 23 november 2017,Sjöhåla 580,"Sjöhåla 580
        

VillaVilla

            Kovikshamn,
          Kungälvs kommun","94
                  
                    + 87 m²
                  
               
                5 rum","94
                  
                    + 87 m²
                  
               
                5 rum",+ 87 m²,1 068 m² tomt,Slutpris 3 100 000 kr
Såld 18 november 2017,Galeasgatan 15,"Galeasgatan 15
        

VillaVilla

            Kungälv,
          Kungälvs kommun","103
                  
                    + 64 m²
                  
               
                5 rum","103
                  
                    + 64 m²
                  
               
                5 rum",+ 64 m²,610 m² tomt,+7 %
Såld 17 november 2017,Västerhöjdsvägen 36,"Västerhöjdsvägen 36
        

VillaVilla

            Kärna,
          Kungälvs kommun","107 m²
               
                5 rum","107 m²
               
                5 rum",+ 80 m²,258 m² tomt,Slutpris 3 850 000 kr
Såld 16 november 2017,Gråstensvägen 19,"Gråstensvägen 19
        

VillaVilla

            Kode Halltorp,
          Kungälvs kommun","94 m²
               
                5 rum","94 m²
               
                5 rum",+ 80 m²,1 197 m² tomt,+3 %
Såld 16 november 2017,Hägnan 135,"Hägnan 135
        

VillaVilla

            KAREBY,
          Kungälvs kommun","235 m²
               
                6 rum","235 m²
               
                6 rum",+ 50 m²,104 335 m² tomt,Slutpris 4 000 000 kr
Såld 15 november 2017,Rishammarvägen 17,"Rishammarvägen 17
        

VillaVilla

            Kareby,
          Kungälvs kommun","120
                  
                    + 80 m²
                  
               
                6 rum","120
                  
                    + 80 m²
                  
               
                6 rum",+ 80 m²,1 142 m² tomt,+5 %
Såld 10 november 2017,Nygatan 14,"Nygatan 14
        

VillaVilla

            Marstrand - Koön,
          Kungälvs kommun","167
                  
                    + 80 m²
                  
               
                6 rum","167
                  
                    + 80 m²
                  
               
                6 rum",+ 82 m²,677 m² tomt,Slutpris 3 200 000 kr
Såld 5 november 2017,Granndalen 7,"Granndalen 7
        

VillaVilla

            Lycke,
          Kungälvs kommun","50 m²
               
                2 rum","50 m²
               
                2 rum",+ 100 m²,1 465 m² tomt,±0 %
Såld 1 november 2017,Skårby 670,"Skårby 670
        

VillaVilla

            Kareby,
          Kungälvs kommun","143 m²
               
                6 rum","143 m²
               
                6 rum",+ 59 m²,4 813 m² tomt,Slutpris 8 800 000 kr
Såld 1 november 2017,Kodevägen 3,"Kodevägen 3
        

VillaVilla

            KODE,
          Kungälvs kommun","150
                  
                    + 50 m²
                  
               
                7 rum","150
                  
                    + 50 m²
                  
               
                7 rum",+ 20 m²,2 025 m² tomt,+4 %
Såld 31 oktober 2017,Matskärsvägen 12A,"Matskärsvägen 12A
        

VillaVilla

            Lycke,
          Kungälvs kommun","145 m²
               
                6 rum","145 m²
               
                6 rum",+ 20 m²,249 m² tomt,Slutpris 4 375 000 kr
Såld 31 oktober 2017,Årsnäs 290,"Årsnäs 290
        

VillaVilla

            Årsnäs,
          Kungälvs kommun","167 m²
               
                5 rum","167 m²
               
                5 rum",+ 11 m²,2 558 m² tomt,+12 %
Såld 27 oktober 2017,Staby 350,"Staby 350
        

VillaVilla

            Kärna,
          Kungälvs kommun","110
                  
                    + 80 m²
                  
               
                4 rum","110
                  
                    + 80 m²
                  
               
                4 rum",+ 90 m²,911 m² tomt,Slutpris 10 800 000 kr
Såld 27 oktober 2017,Vråstigen 6,"Vråstigen 6
        

VillaVilla

            Överön / Vråkärr,
          Kungälvs kommun","100 m²
               
                3 rum","100 m²
               
                3 rum",+ 18 m²,1 453 m² tomt,-10 %
Såld 26 oktober 2017,Bergkristallvägen 23,"Bergkristallvägen 23
        

VillaVilla

            Kode,
          Kungälvs kommun","130 m²
               
                5 rum","130 m²
               
                5 rum",+ 40 m²,504 m² tomt,Slutpris 1 875 000 kr
Såld 23 oktober 2017,Östra Gatan 9,"Östra Gatan 9
        

VillaVilla

            Centrum,
          Kungälvs kommun","325
                  
                    + 82 m²
                  
               
                10 rum","325
                  
                    + 82 m²
                  
               
                10 rum",+ 37 m²,359 m² tomt,±0 %
Såld 21 oktober 2017,Kållen 160,"Kållen 160
        

VillaVilla

            Norrmannebo,
          Kungälvs kommun","88 m²
               
                4 rum","88 m²
               
                4 rum",+ 100 m²,1 819 m² tomt,Slutpris 3 000 000 kr
Såld 20 oktober 2017,Fredkullagatan 8,"Fredkullagatan 8
        

VillaVilla

            Komarken,
          Kungälvs kommun","175
                  
                    + 100 m²
                  
               
                6 rum","175
                  
                    + 100 m²
                  
               
                6 rum",+ 147 m²,741 m² tomt,-8 %
Såld 20 oktober 2017,Jakobsvägen 7,"Jakobsvägen 7
        

VillaVilla

            Kode,
          Kungälvs kommun","188 m²
               
                3 rum","188 m²
               
                3 rum",+ 100 m²,1 324 m² tomt,Slutpris 4 300 000 kr
Såld 16 oktober 2017,Mjölnarvägen 13,"Mjölnarvägen 13
        

VillaVilla

            Diseröd,
          Kungälvs kommun","158
                  
                    + 59 m²
                  
               
                7 rum","158
                  
                    + 59 m²
                  
               
                7 rum",+ 20 m²,899 m² tomt,+15 %
Såld 13 oktober 2017,Klövergången 15,"Klövergången 15
        

VillaVilla

            Centrum,
          Kungälvs kommun","125 m²
               
                4 rum","125 m²
               
                4 rum",+ 60 m²,401 m² tomt,Slutpris 4 500 000 kr
Såld 13 oktober 2017,Kulperödsvägen 5A,"Kulperödsvägen 5A
        

VillaVilla

            Gullbringa,
          Kungälvs kommun","100
                  
                    + 20 m²
                  
               
                5 rum","100
                  
                    + 20 m²
                  
               
                5 rum",+ 33 m²,450 m² tomt,±0 %
